id,type,chapter,section,question,answer,explanation,choices,tags
mcq-001,mcq,総論I 形態・機能・病態生理,発生,問1 肺の胎生期発生について誤っているのはどれか。,e,肺胞期は胎齢36週頃〜小児期で、肺胞の形成・成熟は出生後小児期まで継続する。a〜dはいずれも正しい。,"{""a"": ""肺の原基は肺芽と呼ばれる管状構造である"", ""b"": ""偽腺管期に終末細気管支までの気道分岐が完了する"", ""c"": ""サーファクタントの産生は細管期に開始する"", ""d"": ""囊状期に胎外生活が可能な構造・機能に達する"", ""e"": ""肺胞の形成は出生時に完了する""}",総論I 発生 5択
mcq-002,mcq,総論I 形態・機能・病態生理,発生,問2 サーファクタントについて正しいのはどれか。,d,サーファクタントはⅡ型肺胞上皮が産生し表面張力を低下させ、コンプライアンスを保つ。欠乏時は小さい肺胞ほど内圧が高くなり虚脱し、ガスは大きい肺胞へ移動する。産生開始は細管期。,"{""a"": ""Ⅰ型肺胞上皮細胞から産生される"", ""b"": ""肺胞の表面張力を上昇させる"", ""c"": ""肺コンプライアンスを低下させる"", ""d"": ""産生開始は細管期である"", ""e"": ""欠乏すると大きい肺胞が虚脱する""}",総論I 発生 5択
mcq-003,mcq,総論I 形態・機能・病態生理,構造,問3 気管・気管支の構造について正しいのはどれか。,c,気管分岐は第4〜5胸椎。区域は右10・左8。club cellは末梢に多い。肺胞が壁に付着するのは呼吸細気管支（終末細気管支は導管の最末端で肺胞付着なし）。,"{""a"": ""気管は第2〜3胸椎の高さで分岐する"", ""b"": ""右主気管支は8区域に分布する"", ""c"": ""細気管支は直径約2 mm以下で軟骨を欠く"", ""d"": ""club cellは中枢気道に多い"", ""e"": ""終末細気管支の壁には肺胞が付着する""}",総論I 構造 5択
mcq-004,mcq,総論I 形態・機能・病態生理,構造,問4 肺の実質・間質に関する記述で正しいのはどれか。,d,狭義の間質＝胞隔、広義の間質＝小葉間・胸膜・気管支血管周囲などの支持体でガス交換に直接関与しない。肺胞壁にリンパ管はない。実質は肺胞上皮＋肺胞腔の空気と捉える。間質性肺炎は「ガス交換に寄与しえない病的間質ができる疾患」。,"{""a"": ""狭義の間質は小葉間結合組織を指す"", ""b"": ""広義の間質はガス交換に直接関与する"", ""c"": ""肺胞壁にはリンパ管が豊富に存在する"", ""d"": ""間質性肺炎の本質は病的間質の形成である"", ""e"": ""実質は肺胞上皮のみで肺胞腔の空気は含めない""}",総論I 構造 5択
mcq-005,mcq,総論I 形態・機能・病態生理,構造,問5 肺小葉（Miller二次小葉）について正しいのはどれか。,d,小葉中心＝気管支血管束（細気管支＋肺動脈枝）、辺縁＝肺静脈・リンパ管。支配気管支は径1〜2 mmの細気管支。細葉（一次小葉）は二次小葉に複数含まれる。,"{""a"": ""小葉の中心構造は肺静脈である"", ""b"": ""小葉辺縁を気管支血管束が走行する"", ""c"": ""支配気管支は区域気管支である"", ""d"": ""1個の終末細気管支以下を細葉という"", ""e"": ""二次小葉には細葉が1個のみ含まれる""}",総論I 構造 5択
mcq-006,mcq,総論I 形態・機能・病態生理,構造,問6 肺の血管系について正しいのはどれか。,d,肺動脈＝静脈血・低圧系・弾性動脈、肺静脈＝動脈血で左心房へ流入。気管支動脈は栄養血管で筋性動脈、血流は心拍出量の約1％。,"{""a"": ""肺動脈内には動脈血が流れる"", ""b"": ""気管支動脈は弾性動脈である"", ""c"": ""肺動脈は高圧系である"", ""d"": ""気管支動脈血流は心拍出量の約1％である"", ""e"": ""肺静脈は右心房に流入する""}",総論I 構造 5択
mcq-007,mcq,総論I 形態・機能・病態生理,呼吸生理,問7 圧−容量曲線と肺保護換気について誤っているのはどれか。,d,PEEPはLIP以上に設定して肺胞虚脱を防ぎ、最大気道内圧はUIP以下に設定して圧損傷を防ぐ。,"{""a"": ""コンプライアンスは C＝ΔV/ΔP で表される"", ""b"": ""LIPは虚脱肺胞が開き始める圧を示す"", ""c"": ""UIPは過伸展が始まる圧を示す"", ""d"": ""PEEPはUIP以上に設定する"", ""e"": ""最大気道内圧はUIP以下に設定する""}",総論I 呼吸生理 5択
mcq-008,mcq,総論I 形態・機能・病態生理,呼吸生理,問8 努力呼気・吸気の気道力学について正しいのはどれか。,c,等圧点より下流で閉塞方向の力が働く。胸腔内気道は呼気で狭く・吸気で広い。胸腔外気道は吸気で狭くなり、睡眠時無呼吸の気流制限に関与。気流速度はチョークポイントで決定され下流抵抗は影響しない。,"{""a"": ""等圧点より上流（肺胞側）で気道が閉塞する"", ""b"": ""胸腔内気道は呼気で広くなる"", ""c"": ""胸腔外気道は吸気で狭くなる"", ""d"": ""チョークポイントより下流の抵抗が気流速度を決める"", ""e"": ""睡眠時無呼吸は胸腔内気道の気流制限による""}",総論I 呼吸生理 5択
mcq-009,mcq,総論I 形態・機能・病態生理,呼吸生理,問9 肺血流分布（West zone）について正しいのはどれか。,c,Zone1（肺尖）Palv＞Pa＞Pvで血流ほぼなし、Zone2（中）Pa＞Palv＞Pv、Zone3（肺底）Pa＞Pv＞Palv。血流・換気量とも肺底部で最大。,"{""a"": ""Zone1ではPa＞Pv＞Palvである"", ""b"": ""立位で血流は肺尖部で最大となる"", ""c"": ""Zone3は肺底部に相当する"", ""d"": ""Zone2では血管が閉じ血流がない"", ""e"": ""立位で換気量は肺尖部で最大となる""}",総論I 呼吸生理 5択
mcq-010,mcq,総論I 形態・機能・病態生理,呼吸生理,問10 低酸素性肺血管攣縮（HPV）について正しいのはどれか。,d,肺血管は低酸素で攣縮（体血管は拡張＝逆）。換気不良部の血流を減らし良好部へ再分配してガス交換効率を高める。出生時の循環切替にも関与。,"{""a"": ""低酸素で肺血管は拡張する"", ""b"": ""体血管と同様の反応である"", ""c"": ""換気不良部の血流を増やす"", ""d"": ""胎児循環から肺循環への切替に関与する"", ""e"": ""ガス交換効率を低下させる""}",総論I 呼吸生理 5択
mcq-011,mcq,総論I 形態・機能・病態生理,呼吸生理,問11 100％酸素吸入で最も改善しにくい低酸素血症の機序はどれか。,d,シャントは肺胞を経由しない血流が混入するため100％O₂でも改善しにくい。他の機序は酸素投与で比較的改善する。,"{""a"": ""肺胞低換気"", ""b"": ""高地（低酸素環境）"", ""c"": ""拡散障害"", ""d"": ""シャント（短絡）"", ""e"": ""換気血流比不均等""}",総論I 呼吸生理 5択
mcq-012,mcq,総論I 形態・機能・病態生理,呼吸生理,問12 酸素解離曲線を右方移動させない因子はどれか。,e,"右方移動（O₂を放しやすい）＝pH低下・CO₂上昇（Bohr効果）・体温上昇・2,3-DPG増加。pH上昇は左方移動させる。","{""a"": ""pH低下"", ""b"": ""PaCO₂上昇"", ""c"": ""体温上昇"", ""d"": ""2,3-DPG増加"", ""e"": ""pH上昇""}",総論I 呼吸生理 5択
mcq-013,mcq,総論I 形態・機能・病態生理,呼吸生理,問13 呼吸調節について正しいのはどれか。,d,リズム形成の基本はVRG。頸動脈体は主にPaO₂、延髄腹側の中枢化学受容野はPaCO₂を感知。低酸素換気応答はPaO₂ 60 Torr以下で出現。,"{""a"": ""呼吸リズム形成の中心はDRGである"", ""b"": ""頸動脈体は主にPaCO₂を感知する"", ""c"": ""中枢化学受容野はPaO₂を感知する"", ""d"": ""pulmonary C線維はJ受容体とも呼ばれる"", ""e"": ""低酸素換気応答はPaO₂ 80 Torr以下で起こる""}",総論I 呼吸生理 5択
mcq-014,mcq,総論I 形態・機能・病態生理,生体防御・代謝,問14 呼吸器の生体防御について正しいのはどれか。,c,TLRは自然免疫。獲得免疫は反復曝露で作動し初感染では不十分。Th2＝IL-4/5/13（寄生虫・アレルギー）、Th17＝IL-17（真菌）。粘液線毛系は粘液を声門方向へ運ぶ。,"{""a"": ""TLRは獲得免疫に分類される"", ""b"": ""獲得免疫は初感染で十分に作動する"", ""c"": ""Th2はアレルギー疾患に関与する"", ""d"": ""Th17はIFN-γを産生する"", ""e"": ""粘液線毛輸送系は粘液を末梢方向へ運ぶ""}",総論I 生体防御・代謝 5択
mcq-015,mcq,総論I 形態・機能・病態生理,生体防御・代謝,問15 アラキドン酸カスケードと治療について正しいのはどれか。,d,COX系＝PG・TX、5-LO系＝LT。ロイコトリエン受容体拮抗薬は喘息、PGI₂製剤は肺高血圧症に用いる。LTB₄は白血球遊走、気道平滑筋収縮はCysLTs（LTC₄/D₄/E₄）。,"{""a"": ""COX系からロイコトリエンが生成される"", ""b"": ""5-LO系からプロスタグランジンが生成される"", ""c"": ""ロイコトリエン受容体拮抗薬は肺高血圧症に用いる"", ""d"": ""PGI₂製剤は肺高血圧症に用いる"", ""e"": ""LTB₄は気道平滑筋収縮の主要因子である""}",総論I 生体防御・代謝 5択
mcq-016,mcq,総論I 形態・機能・病態生理,加齢,問16 加齢に伴う呼吸機能の変化で誤っているのはどれか。,d,加齢でPaO₂はほぼ直線的に低下するが、PaCO₂・pHはほとんど変化しない。RV↑・FRC軽度↑・TLC不変によりRV/TLC↑、CVも増大する。,"{""a"": ""残気量（RV）は増加する"", ""b"": ""全肺気量（TLC）はほぼ不変である"", ""c"": ""残気率（RV/TLC）は増加する"", ""d"": ""PaCO₂は加齢とともに直線的に低下する"", ""e"": ""クロージングボリュームは増大する""}",総論I 加齢 5択
qa-s2-001,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,2023年のわが国の新規結核患者数は？,"10,096人",,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-002,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,2023年の結核罹患率（人口10万対）は？,8.1,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-003,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,結核の罹患率の動向は？,減少傾向,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-004,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,新規結核患者で80歳以上が占める割合は？,42.9%,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-005,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,結核患者の男女比は？,男性が女性の約1.4倍,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-006,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,外国出生結核患者の出生国で最多は？,フィリピン,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-007,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,外国出生結核患者で20歳代が占める割合は？,84.8%,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-008,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,結核発病がないことを入国前に求める対策は？,入国前結核スクリーニング,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-009,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,NTM症の罹患率の動向（2007→2014）は？,約2.6倍に増加,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-010,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,NTM症の死亡数（2021）は？,"1,100人超（増加傾向）",,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-011,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,NTM症に多い患者層は？,中年〜高齢の女性,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-012,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,結核に多い患者層は？,高齢男性,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-013,qa,総論II 疫学,抗酸菌感染症（結核・NTM）,NTM症の主な感染経路の特徴は？,環境由来,,,総論II 抗酸菌感染症（結核・NTM） 一問一答
qa-s2-014,qa,総論II 疫学,喘息死・COPD死,喘息死がピークだった年と人数は？,"1995年・7,253人",,,総論II 喘息死・COPD死 一問一答
qa-s2-015,qa,総論II 疫学,喘息死・COPD死,2020年の喘息死亡数は？,"1,233人（減少）",,,総論II 喘息死・COPD死 一問一答
qa-s2-016,qa,総論II 疫学,喘息死・COPD死,高齢者の喘息死統計に紛れ込みうる疾患は？,COPD・うっ血性心不全・誤嚥性肺炎,,,総論II 喘息死・COPD死 一問一答
qa-s2-017,qa,総論II 疫学,喘息死・COPD死,2022年のCOPD死亡数は？,"16,676人",,,総論II 喘息死・COPD死 一問一答
qa-s2-018,qa,総論II 疫学,喘息死・COPD死,2022年のCOPD死亡率（人口10万対）は？,13.7,,,総論II 喘息死・COPD死 一問一答
qa-s2-019,qa,総論II 疫学,喘息死・COPD死,COPD死の動向は？,増加傾向,,,総論II 喘息死・COPD死 一問一答
qa-s2-020,qa,総論II 疫学,喘息死・COPD死,COPD総患者数（2020・治療中）は？,"36万2,000人",,,総論II 喘息死・COPD死 一問一答
qa-s2-021,qa,総論II 疫学,喘息死・COPD死,COPD死が今後減少しうる根拠は？,喫煙率低下・フィルター・粉じん曝露減,,,総論II 喘息死・COPD死 一問一答
qa-s2-022,qa,総論II 疫学,肺癌死・喫煙,肺癌の総患者数・死亡数の動向は？,増加傾向,,,総論II 肺癌死・喫煙 一問一答
qa-s2-023,qa,総論II 疫学,肺癌死・喫煙,近年急減した肺癌の組織型は？,肺扁平上皮癌（肺門部）,,,総論II 肺癌死・喫煙 一問一答
qa-s2-024,qa,総論II 疫学,肺癌死・喫煙,近年増加している肺癌の組織型は？,肺腺癌,,,総論II 肺癌死・喫煙 一問一答
qa-s2-025,qa,総論II 疫学,肺癌死・喫煙,肺癌死の減少が期待される治療薬は？,免疫チェックポイント阻害薬,,,総論II 肺癌死・喫煙 一問一答
qa-s2-026,qa,総論II 疫学,肺癌死・喫煙,日本人の予防可能な2大危険因子は？,喫煙と血圧,,,総論II 肺癌死・喫煙 一問一答
qa-s2-027,qa,総論II 疫学,肺癌死・喫煙,喫煙寄与死の推計人数は？,約12.9万人,,,総論II 肺癌死・喫煙 一問一答
qa-s2-028,qa,総論II 疫学,肺癌死・喫煙,喫煙寄与死の男女比は？,約3/4が男性,,,総論II 肺癌死・喫煙 一問一答
qa-s2-029,qa,総論II 疫学,肺癌死・喫煙,喫煙による主要死因の最多は？,肺癌（4.2万人）,,,総論II 肺癌死・喫煙 一問一答
qa-s2-030,qa,総論II 疫学,肺癌死・喫煙,禁煙による平均余命獲得（男性）は？,+1.8年,,,総論II 肺癌死・喫煙 一問一答
qa-s2-031,qa,総論II 疫学,肺癌死・喫煙,2020年に患者数が減らなかった主要呼吸器疾患は？,肺（気管・気管支）の悪性新生物,,,総論II 肺癌死・喫煙 一問一答
mcq-s2-001,mcq,総論II 疫学,抗酸菌感染症（結核・NTM）,問1 2023年のわが国の結核について正しいのはどれか。,b,"2023年の新規結核患者は約10,096人、罹患率8.1/10万で減少傾向。高齢者に集中し、男性が女性の約1.4倍。","{""a"": ""新規患者数は約3万人である"", ""b"": ""罹患率は人口10万対8.1である"", ""c"": ""罹患率は増加傾向である"", ""d"": ""患者は若年層に集中している"", ""e"": ""女性が男性の約1.4倍である""}",総論II 抗酸菌感染症（結核・NTM） 5択
mcq-s2-002,mcq,総論II 疫学,抗酸菌感染症（結核・NTM）,問2 結核の疫学について正しいのはどれか。,a,80歳以上が42.9%。外国出生患者は増加（出生国最多はフィリピン）、20歳代では84.8%が外国出生。対策は入国前スクリーニング。,"{""a"": ""80歳以上が新規患者の約4割を占める"", ""b"": ""外国出生患者は減少している"", ""c"": ""外国出生患者の出生国最多は中国である"", ""d"": ""20歳代では外国出生が約2割である"", ""e"": ""入国後の結核スクリーニングが導入された""}",総論II 抗酸菌感染症（結核・NTM） 5択
mcq-s2-003,mcq,総論II 疫学,抗酸菌感染症（結核・NTM）,問3 非結核性抗酸菌症（NTM）について正しいのはどれか。,d,NTMは罹患率・死亡数とも増加傾向で、中年〜高齢女性に多い。感染は主に環境由来。,"{""a"": ""罹患率は減少傾向である"", ""b"": ""男性に多い"", ""c"": ""死亡数は減少している"", ""d"": ""中年〜高齢女性に多い"", ""e"": ""主にヒト-ヒト感染する""}",総論II 抗酸菌感染症（結核・NTM） 5択
mcq-s2-004,mcq,総論II 疫学,抗酸菌感染症（結核・NTM）,問4 結核とNTM症の比較で正しいのはどれか。,b,結核＝減少・高齢男性に多い、NTM＝増加（7年で約2.6倍）・中年〜高齢女性に多い。結核罹患率は8.1/10万。,"{""a"": ""結核は増加、NTMは減少している"", ""b"": ""結核は高齢男性、NTMは中年〜高齢女性に多い"", ""c"": ""両者とも若年男性に多い"", ""d"": ""NTMは2007〜2014で約半減した"", ""e"": ""結核の罹患率は人口10万対80である""}",総論II 抗酸菌感染症（結核・NTM） 5択
mcq-s2-005,mcq,総論II 疫学,喘息死・COPD死,問5 わが国の喘息死について正しいのはどれか。,b,"喘息死は1995年に7,253人でピーク、2020年は1,233人まで減少。高齢者に多く、統計には他疾患混入の可能性。","{""a"": ""近年増加傾向である"", ""b"": ""1995年に約7,250人でピークとなった"", ""c"": ""2020年も7,000人を超える"", ""d"": ""若年者に多い"", ""e"": ""統計は実態を正確に反映している""}",総論II 喘息死・COPD死 5択
mcq-s2-006,mcq,総論II 疫学,喘息死・COPD死,問6 高齢者の喘息死統計に紛れ込む可能性が指摘される疾患でないのはどれか。,d,本文で挙げられるのはCOPD・うっ血性心不全・喘息様気管支炎と称される誤嚥性肺炎などの喘鳴を伴う疾患。肺血栓塞栓症は挙げられていない。,"{""a"": ""COPD"", ""b"": ""うっ血性心不全"", ""c"": ""誤嚥性肺炎（喘息様気管支炎）"", ""d"": ""肺血栓塞栓症"", ""e"": ""喘鳴を伴う呼吸器感染症""}",総論II 喘息死・COPD死 5択
mcq-s2-007,mcq,総論II 疫学,喘息死・COPD死,問7 わが国のCOPD死亡について正しいのはどれか。,b,"COPD死は長期的に増加傾向で、2022年は16,676人（男14,019/女2,657）、死亡率13.7/10万。男性が多く喫煙率と関連。","{""a"": ""長期的に減少傾向である"", ""b"": ""2022年の死亡数は約16,700人である"", ""c"": ""女性が男性より多い"", ""d"": ""死亡率は人口10万対130である"", ""e"": ""喫煙率とは無関係である""}",総論II 喘息死・COPD死 5択
