id,type,chapter,section,question,choices,answer,explanation,tags,source_file,images,reference
qa-011,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,気管分岐部の名称は？,"{""a"": ""carina（気管分岐部）"", ""b"": ""喉頭蓋"", ""c"": ""輪状軟骨"", ""d"": ""胸骨角""}","[""a""]","気管分岐部の名称はcarina(気管竜骨)。

【AI解説】
【結論】気管分岐部の名称はcarina（気管竜骨）。
【選択肢の解説】
⭕「carina（気管分岐部）」：正しい。気管支鏡のランドマークとなる。
❌「喉頭蓋」：誤り。喉頭の入口を覆う軟骨である。
❌「輪状軟骨」：誤り。気道で唯一全周性の軟骨輪である。
❌「胸骨角」：誤り。体表の指標である。
【関連知識】carinaの鈍化・開大は気管分岐下リンパ節（#7）の腫大を示唆する。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 6, ""image"": ""assets/reference_pages/s1_p006.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=6"", ""highlights"": [{""x"": 0.0669, ""y"": 0.6467, ""w"": 0.3961, ""h"": 0.0198}]}"
qa-012,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,気管の軟骨を欠く背側1/3を何という？,"{""a"": ""膜様部"", ""b"": ""軟骨部"", ""c"": ""粘膜下層"", ""d"": ""外膜""}","[""a""]","気管の軟骨を欠く背側1/3は膜様部。

【AI解説】
【結論】気管の軟骨を欠く背側1/3は膜様部。
【選択肢の解説】
⭕「膜様部」：正しい。気管軟骨はC字型（U字型）で背側1/3を欠き、平滑筋と結合組織からなる膜様部となっている。
❌「軟骨部」：誤り。腹側2/3である。
❌「粘膜下層」：誤り。層構造の名称である。
❌「外膜」：誤り。
【関連知識】気管軟化症では呼気時に膜様部が前方へ突出して内腔が虚脱する。気管損傷が膜様部に限局し空気漏れが持続しなければ保存的に経過をみることもある。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 6, ""image"": ""assets/reference_pages/s1_p006.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=6"", ""highlights"": [{""x"": 0.0669, ""y"": 0.9096, ""w"": 0.3933, ""h"": 0.0198}]}"
qa-013,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,右肺・左肺の肺区域数は？,"{""a"": ""右10・左8"", ""b"": ""右8・左10"", ""c"": ""右10・左10"", ""d"": ""右9・左8""}","[""a""]","肺区域数は右10・左8。

【AI解説】
【結論】肺区域数は右10・左8。
【選択肢の解説】
⭕「右10・左8」：正しい。左はB1とB2が癒合してB1+2となり、B7を欠く。
❌「右8・左10」：誤り。逆である。
❌「右10・左10」：誤り。
❌「右9・左8」：誤り。
【関連知識】右肺は上葉・中葉・下葉の3葉、左肺は上葉・下葉の2葉からなる。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 3, ""image"": ""assets/reference_pages/s1_p003.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=3""}"
qa-014,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,軟骨・気管支腺が消失する気道径の目安は？,"{""a"": ""約2 mm以下（細気管支）"", ""b"": ""約5 mm以下"", ""c"": ""約1 mm以下"", ""d"": ""約10 mm以下""}","[""a""]","軟骨・気管支腺が消失する気道径の目安は約2mm以下(細気管支)。

【AI解説】
【結論】軟骨・気管支腺が消失する気道径の目安は約2 mm以下（細気管支）。
【選択肢の解説】
⭕「約2 mm以下（細気管支）」：正しい。内径2 mm以下では軟骨と気管支腺が消失し、周囲肺胞の弾性収縮力（radial traction）で開存が保たれる。
❌「約5 mm以下」：誤り。
❌「約1 mm以下」：誤り。
❌「約10 mm以下」：誤り。
【関連知識】この部位が末梢気道（small airway）で、COPDや閉塞性細気管支炎の主座となる。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 7, ""image"": ""assets/reference_pages/s1_p007.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=7""}"
qa-015,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,末梢で増加しCCSPを分泌する細胞は？,"{""a"": ""club cell（旧Clara細胞）"", ""b"": ""杯細胞"", ""c"": ""基底細胞"", ""d"": ""神経内分泌細胞""}","[""a""]","末梢で増加しCCSPを分泌するのはclub cell(旧Clara細胞)。

【AI解説】
【結論】末梢で増加しCCSP（クラブ細胞分泌蛋白）を分泌するのはclub cell（旧Clara細胞）。
【選択肢の解説】
⭕「club cell（旧Clara細胞）」：正しい。細気管支上皮に存在し、分裂能をもち、CCSP（クラブ細胞分泌蛋白）やサーファクタント蛋白を分泌して気道の恒常性を保つ。
❌「杯細胞」：誤り。中枢側に多くムチンを分泌する。
❌「基底細胞」：誤り。中枢気道の幹細胞である。
❌「神経内分泌細胞」：誤り。
【関連知識】club cellは薬物代謝酵素（CYP）を有し、末梢気道の障害修復にも関与する。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 7, ""image"": ""assets/reference_pages/s1_p007.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=7"", ""highlights"": [{""x"": 0.1025, ""y"": 0.7169, ""w"": 0.394, ""h"": 0.0193}]}"
qa-016,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,導管（気道）としての最末端の気道は？,"{""a"": ""終末細気管支"", ""b"": ""呼吸細気管支"", ""c"": ""肺胞管"", ""d"": ""細気管支""}","[""a""]","導管(気道)としての最末端は終末細気管支。

【AI解説】
【結論】導管（気道）としての最末端は終末細気管支。
【選択肢の解説】
⭕「終末細気管支」：正しい。ガス交換に関与しない伝導気道の最末端である。
❌「呼吸細気管支」：誤り。壁に肺胞が開口し移行帯にあたる。
❌「肺胞管」：誤り。呼吸部である。
❌「細気管支」：誤り。より中枢側である。
【関連知識】終末細気管支より末梢（呼吸細気管支・肺胞管・肺胞嚢・肺胞）のまとまりが細葉（acinus）で、ガス交換の最小単位である。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 7, ""image"": ""assets/reference_pages/s1_p007.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=7"", ""highlights"": [{""x"": 0.1025, ""y"": 0.5593, ""w"": 0.3926, ""h"": 0.0203}]}"
qa-017,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,気道部と呼吸部の移行帯にあたる気道は？,"{""a"": ""呼吸細気管支"", ""b"": ""終末細気管支"", ""c"": ""肺胞管"", ""d"": ""区域気管支""}","[""a""]","気道部と呼吸部の移行帯は呼吸細気管支。

【AI解説】
【結論】気道部と呼吸部の移行帯は呼吸細気管支（壁に一部肺胞が開口）。
【選択肢の解説】
⭕「呼吸細気管支」：正しい。壁の一部に肺胞が開口し、伝導と ガス交換の両方を担う移行帯である。
❌「終末細気管支」：誤り。伝導気道の最末端である。
❌「肺胞管」：誤り。壁がすべて肺胞である。
❌「区域気管支」：誤り。中枢の伝導気道である。
【関連知識】呼吸細気管支は小葉中心性病変（喫煙関連の細気管支炎や小葉中心性肺気腫）の主座となる。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 7, ""image"": ""assets/reference_pages/s1_p007.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=7"", ""highlights"": [{""x"": 0.1039, ""y"": 0.8745, ""w"": 0.3905, ""h"": 0.0203}]}"
qa-018,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,サーファクタントを分泌し虚脱を防ぐ肺胞上皮は？,"{""a"": ""Ⅱ型肺胞上皮細胞"", ""b"": ""Ⅰ型肺胞上皮細胞"", ""c"": ""club cell（クラブ細胞）"", ""d"": ""肺胞マクロファージ""}","[""a""]","サーファクタントを分泌し虚脱を防ぐのはII型肺胞上皮細胞。

【AI解説】
【結論】サーファクタントを分泌し肺胞虚脱を防ぐのはII型肺胞上皮細胞。
【選択肢の解説】
⭕「II型肺胞上皮細胞」：正しい。表面張力を下げて呼気終末の肺胞虚脱を防ぐ。
❌「I型肺胞上皮細胞」：誤り。ガス交換を担う。
❌「club cell（クラブ細胞）」：誤り。細気管支の細胞である。
❌「肺胞マクロファージ」：誤り。貪食・免疫を担う。
【関連知識】II型肺胞上皮細胞は肺胞壁の約5%を占めるにすぎないが数は多く、I型細胞への分化能をもつ幹細胞として傷害後の修復も担う。KL-6・SP-A・SP-Dはこの細胞由来である。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 8, ""image"": ""assets/reference_pages/s1_p008.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=8"", ""highlights"": [{""x"": 0.5035, ""y"": 0.5944, ""w"": 0.3926, ""h"": 0.0203}]}"
qa-019,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,ガス交換に関与する菲薄な肺胞上皮は？,"{""a"": ""Ⅰ型肺胞上皮細胞"", ""b"": ""Ⅱ型肺胞上皮細胞"", ""c"": ""中皮細胞"", ""d"": ""血管内皮細胞""}","[""a""]","ガス交換に関与する菲薄な肺胞上皮はI型肺胞上皮細胞。

【AI解説】
【結論】ガス交換に関与する菲薄な肺胞上皮はI型肺胞上皮細胞。
【選択肢の解説】
⭕「I型肺胞上皮細胞」：正しい。菲薄で肺胞表面積の約95%を覆い、ガス交換を担う。
❌「II型肺胞上皮細胞」：誤り。数は多いが面積は約5%で、サーファクタントを産生する。
❌「中皮細胞」：誤り。胸膜の細胞である。
❌「血管内皮細胞」：誤り。
【関連知識】I型細胞は分裂能をもたず、傷害を受けるとII型細胞が増殖して置き換わる。放射線感受性はII型のほうが高い。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 8, ""image"": ""assets/reference_pages/s1_p008.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=8"", ""highlights"": [{""x"": 0.5035, ""y"": 0.5944, ""w"": 0.3926, ""h"": 0.0203}]}"
qa-020,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,肺胞間の側副換気に関与しうる小孔は？,"{""a"": ""Kohn孔"", ""b"": ""Lambert管"", ""c"": ""Martin管"", ""d"": ""肺胞道""}","[""a""]","肺胞間の側副換気に関与する小孔はKohn孔。

【AI解説】
【結論】肺胞間の側副換気に関与する小孔はKohn孔。
【選択肢の解説】
⭕「Kohn孔」：正しい。隣接する肺胞をつなぐ小孔である。
❌「Lambert管」：誤り。細気管支と肺胞を結ぶ副交通路で、これも側副換気に関与する。
❌「Martin管」：誤り。細気管支どうしを結ぶ交通路である。
❌「肺胞道」：誤り。
【関連知識】側副換気があるため区域切除でも虚脱しにくい一方、気管支バルブによる肺容量減少術（BLVR）では側副換気のない症例が適応となる。Kohn孔は加齢とともに増加する。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 9, ""image"": ""assets/reference_pages/s1_p009.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=9"", ""highlights"": [{""x"": 0.1046, ""y"": 0.752, ""w"": 0.3919, ""h"": 0.0198}]}"
qa-021,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,CT診断の基盤となる約1cm四方の構造単位は？,"{""a"": ""Miller二次小葉"", ""b"": ""細葉（acinus）"", ""c"": ""一次小葉"", ""d"": ""肺区域""}","[""a""]","CT診断の基盤となる約1cm四方の構造単位はMiller二次小葉。

【AI解説】
【結論】CT診断の基盤となる約1cm四方の構造単位はMiller二次小葉。
【選択肢の解説】
⭕「Miller二次小葉」：正しい。小葉間隔壁で囲まれた約1〜2 cmの多面体で、HRCT読影の基本単位である。
❌「細葉（acinus）」：誤り。より小さい単位で、二次小葉には3〜30個程度の細葉が含まれる。
❌「一次小葉」：誤り。細葉と同義に用いられる。
❌「肺区域」：誤り。より大きい単位である。
【関連知識】病変分布を小葉中心性・小葉辺縁性（リンパ路に沿う）・汎小葉性に分けて読影する。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 10, ""image"": ""assets/reference_pages/s1_p010.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=10"", ""highlights"": [{""x"": 0.5028, ""y"": 0.4368, ""w"": 0.3257, ""h"": 0.0203}]}"
qa-022,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,1本の終末細気管支以下のまとまり（一次小葉）は？,"{""a"": ""細葉（acinus）"", ""b"": ""Miller二次小葉"", ""c"": ""肺区域"", ""d"": ""肺葉""}","[""a""]","1本の終末細気管支以下のまとまり(一次小葉)は細葉(acinus)。

【AI解説】
【結論】1本の終末細気管支以下のまとまり（一次小葉）は細葉（acinus）。
【選択肢の解説】
⭕「細葉（acinus）」：正しい。1本の終末細気管支が支配する呼吸細気管支以下のまとまりで、ガス交換の最小機能単位である。
❌「Miller二次小葉」：誤り。より大きい単位である。
❌「肺区域」：誤り。
❌「肺葉」：誤り。
【関連知識】階層は 肺全体 → 肺葉 → 肺区域 → 小葉（二次小葉）→ 細葉 → 肺胞 の順である。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 11, ""image"": ""assets/reference_pages/s1_p011.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=11"", ""highlights"": [{""x"": 0.1025, ""y"": 0.7633, ""w"": 0.3919, ""h"": 0.0257}]}"
qa-023,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,小葉中心を走る細気管支＋肺動脈枝＋結合織は？,"{""a"": ""気管支血管束（bronchovascular bundle）"", ""b"": ""小葉間隔壁"", ""c"": ""胸膜下間質"", ""d"": ""肺静脈枝""}","[""a""]","小葉中心を走る細気管支+肺動脈枝+結合織は気管支血管束。

【AI解説】
【結論】小葉中心を走る細気管支＋肺動脈枝＋結合織は気管支血管束（bronchovascular bundle）。
【選択肢の解説】
⭕「気管支血管束（bronchovascular bundle）」：正しい。小葉の中心を細気管支と肺動脈枝が並走する。
❌「小葉間隔壁」：誤り。小葉の辺縁である。
❌「胸膜下間質」：誤り。
❌「肺静脈枝」：誤り。小葉辺縁を走る。
【関連知識】気管支血管束の肥厚は広義間質の肥厚を示し、癌性リンパ管症・サルコイドーシス・肺水腫でみられる。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 11, ""image"": ""assets/reference_pages/s1_p011.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=11"", ""highlights"": [{""x"": 0.1053, ""y"": 0.754, ""w"": 0.3787, ""h"": 0.0128}]}"
